OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
14,Vermeulen No 869,L 0617900,javensis,"Sabah, Sandakan, Mt. Tawai, 5°33 N 117°05 E; 700 m alt",1,700,15,8,3,3,1,2,34,2,8,11,3.5,12.5,4.5,13,5.5,5,2,2,2,0,5,16,2,9.5,,,3,0,,,,,,1
15,RJ Johns 6509,L 0617890,8: var polyphyllus,(5°33N. 117°05E);  700m a.s.l,2,70,5,3,1,2,1,2,30,2,8,6.5,2.5,8.5,2,12,2,9,2.6,,,,,,,,,,,,,,,,,1
16,JD 5301,L 0617904,13: Calamus sp 1,"slopes of Mt. Mulu NP, 4th division, Sarawak; 1200 m",4,1200,15,8,4,3,0,0,63,7,11,13,2,11,2,13,3.5,0,2,0,2,2,0,,6,3,0,1,,,,,,,,0
17,Moore & Meijer 9208,L 0617874,8: var polyphyllus,"Sabah, Slope of Bukit Tenom above Tenom by water-works stream to crest of ridge in Crocker Ridge Forest Reserve",2,300,7,5,1,1,2,1,38.5,1,11,12,2.5,12,2.5,16.5,2.5,11.5,2,2,2,2,2,7,4,4.5,1,0,,,7,1,,,0,1
18,Furtado SFN 33068,L 3928282 / sh no 960 87 010,8: var polyphyllus,"Kedah, Bukit Seblak",2,150,10,5,2,0,1,1,67,0,10,17.5,2.5,19.5,4,18,4.5,7.5,2.5,,2,2,,,4,8.0,2,0,,,,,,,0,1
19,Furtado SFN 33053,,javensis,Kedah,1,150,,,,,,,,,,,,14.5,4.5,14.5,4,8,2,2,1,2,,,,,1.2,,,,,,,,,1
20,Amin & Jarius SAN 116575,L 0617894,8: var polyphyllus,"Bambangan, hillside Ranau district, Sabah; ♂",2,1100,8,6,1,1,1,1,35,0,9,12,2,12,2.5,17,2.5,120.5,2.5,2,2.4,0,0,16,22,3.5,,,1,1,,,,,,1
21,C. Niyomdham 1254,L 3933498,javensis,"Klong Seang, Pang Nga",1,600,4,2,1,4,1,0,29,2,6,17,2,18.5,1,20,2,17,1,,,,,,,,,,,,,,,,,1
22,Vermeulen&Duistermaat No 679,L 0617903,8: var polyphyllus,"Sabah, Keningau;  (05°28’N, 116°03’E); 1500-1600 m alt.;",2,1550,8,3,1,4,1,1,40,0,10,8,0.8,9.5,1,13,1,8,1,0,2,0,1,12,6,4.0,,,1,1,,,,,,1
23,JD 5992,L 0617905,8: var polyphyllus,"Gn Pueh FR, Sematan 1st district, Sarawak; 120 m alt",2,120,5,3,1,1,1,0,21,0,9,8.5,1,9.5,1,9,0.7,7,0.8,,,,,,,,,,,,,,,,,1
24,Dyg. Awa & Bernard Lee S 50593,L 0617892,javensis,"Sarawak, Bt. Lawi, Bario",1,2000,6,2,1,2,2,1,36,1,5,10,1,10.5,1,12.5,2,13,1.5,0,2,0,1,,3,2.0,1,1,,,1,0,,,,1
25,Ag. Nordin Abas No 85869,L 0617865,8: var polyphyllus,"Crocker range, Keningau, Sabah; 900 m alt.",2,900,7,4,0,,2,0,36,1,11,16,1.5,15,1.5,16.5,1.5,12,1.5,2,4,0,1,16,3,3.5,1,1,,,9,1,,,0,1
26,"Gen Murata, Kunio Iwatsaki, Masahiro Kato, JP Mogea B 2612",L 0617862,javensis,"Tabang, Mt. Mendam, East Kalimantan; 300-880 m alt",1,500,6,4,1,1,1,1,26,0,4,15,2.5,14.5,2.5,11.5,2.5,7.5,2,0,2,0,1,,6,5.0,,,1,0,,,,,,1
27,T Smitinand No 841,L 3933496,javensis,"Nackhon Si Thammarat, Thai Peninsula; ♂",1,50,6,3,2,2,1,1,34,0,6,15,2.5,17.5,3.5,18,4.5,8,2,,1,2,4,9,7,5.0,,,1,0,,,,,,1
28,John Dransfield JD 4519,L 3928253,javensis,"Tapah Hill, Perak, Malay Peninsula, 500 m a.s.l",1,500,10,6,3,3,1,0,55,0,12,15,4,18,4.5,18.5,4.5,6.5,1,2,2,2,6,13,12,7.0,,,1,0,,,,,,1
29,W. Ave No 114,L 3928105,javensis,"Kp. Sekam, Tapah, Perak, West Malaysia (04020’N, 101020’E)",1,800,10,5,3,0,0,1,65,0,9,21,3.5,23,3.5,24,4,11.5,2.5,2,,0,8,6,7,6.5,,,1,0,,,,,,1
30,W. Ave No 218,L 3933429,javensis,"Kp. Sekam, Tapah, Perak, West Malaysia (04°020’N, 101°020’E); 800 m alt",1,800,10,6,4,0,0,1,48,0,6,17.5,4.5,18,4,18,4.5,11,3.5,,,,,,,,,,,,,2,,,,1
31,JD 5783,L 3933441,javensis,"Telupid, slope of bkt Tangkunan, Sabah",1,226,8,5,2,3,1,1,44,0,8,13,3.5,14,3.5,17,4.5,7.5,2.5,2,2,0,0,22,6,10.0,1,0,,,,,,,,1
32,JD 4375,L 0617877,javensis,"Kenayan, Balikpapan, East Kalimantan",1,43,6,4,1,1,2,0,64,7,6,18,3,16,3,16,4,11,2.5,,,,,,,,,,,,,,,,,1
33,JD 5672,L 0617870,javensis,"Sabah, Kinabalu",1,1500,9,6,2,1,1,1,30,4,4,25,3.5,20.5,3,27,3.5,15,2,,,,,,,,,,,,,,,,,1
34,Chew & Corner RSNB 4835,L 0617867,12: var nova,"Mt. Kinabalu, Sabah; Mesilau cave; alt. 2000 m",5,2000,8,4,4,3,3,0,59,5,4,25,3.5,26,3.5,24,4,20,3,0,1,2,0,7,5,4.0,1,0,,,,,,,,1
35,JD 3355,L 3933512,javensis,Sumatra,1,,7,5,1,2,1,0,30,0,6,15,2.5,14,3.5,15,3,6.5,2.5,,,,,,,,,,,,,,,,,1
36,"JP Mogea, Gen Murata, Masahiro Kato B 1692",L 0617878,javensis,"Borneo, Kalimantan Selatan",1,100,20,10,4,1,1,2,46,0,6,21,4.5,18,4.5,19,4.5,8,2.5,,,,,,,,,,,,,,,,,1
37,Nordin Abas SAN 85981,L 0617880,javensis,"Sabah, crocker range",1,1000,9,6,0,1,1,1,36,1,7,11.5,2,13,3,15.5,2.5,6,1.5,2,1,0,1,8.5,7,,,,1,0,,,,,,1
38,JD 5699,L 0617868,javensis,"Sabah, Sandakan, Kinabalu, Ranau",1,1500,7,5,1,1,2,2,52,4,5,16.5,3.5,16.5,4.5,16,3,13.5,2.5,,,,,,,,,,,,,,,,,1
39,GHS Wood San A 3990,L 0617873,javensis,"Sandakan, Lungmanis",1,60,8,4,1,3,1,0,36,0,4,17.5,3,19,3.5,19.5,3.5,10,1.5,2,2,2,1,5.5,6,6.0,,,3,0,,,,,,1
