,"ï..OTU","Specimen_no","Barcode","Taxon","locality","kode_cluster","altitude","w_.l.s","w_o.l.s","spine_density"								
1,1,"W.Ave 218","L 3933429","javensis","Kp. Sekam , tapah, Perak, West malaysia (04Â°20'N, 101Â°20'E)	 800 m a.s.l",1,800,12,8,2							
2,2,"S 54137","L0617893","javensis","Gn. Bawang, Mattang	 600 m a.s.l",1,600,15,10,3							
3,3,"Ambi & Arifin AA 453","L 0372234","javensis","Wanariset Samboja, east Kalimantan",1,150,6,5,2								
4,4,"Rahmat Si Toroes No 331","L 3928337","javensis","Parbasiran Merbau, East Sumatra",1,50,15,10,2								
5,5,"W.J. Lutjeharms WJL 4253","K 000934698","8: var polyphyllus","Enggano, West coast Sumatra	 â™‚ -- cited in Furtado as var. Polyphyllus",2,180,35,25,3							
